Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Hansen Yang,2025,Big,Chinese CBA,Qingdao,#C62B23,16,Portland Trail Blazers,POR,19.99,85,"7'1""",86.75,"7'2.75""",1.75,253
Joan Beringer,2025,Big,Adriatic ABA,KK Cedevita Olimpija,#F26E21,17,Minnesota Timberwolves,MIN,18.62,83,"6'11""",88.25,"7'4.25""",5.25,235
Walter Clayton Jr.,2025,Guard,SEC,Florida,#FA4616,18,Utah Jazz,UTA,22.3,74,"6'2""",76,"6'4""",2,199
Nolan Traore,2025,Guard,French LNB Élite,Saint-Quentin,#194187,19,Brooklyn Nets,BKN,19.08,75,"6'3""",80,"6'8""",5,175
Kasparas Jakucionis,2025,Guard,Big 10,Illinois,#E84A27,20,Miami Heat,MIA,19.07,76.75,"6'4.75""",79.75,"6'7.75""",3,205
Will Riley,2025,Wing,Big 10,Illinois,#E84A27,21,Washington Wizards,WAS,19.37,80.25,"6'8.25""",80.75,"6'8.75""",0.5,186
Drake Powell,2025,Wing,ACC,North Carolina,#7BAFD4,22,Brooklyn Nets,BKN,19.8,77.25,"6'5.25""",84,"7'0""",6.75,200
Asa Newell,2025,Big,SEC,Georgia,#BA0C2F,23,Atlanta Hawks,ATL,19.71,81,"6'9""",83.25,"6'11.25""",2.25,224
Nique Clifford,2025,Wing,Mountain West,Colorado State,#1E4D2B,24,Sacramento Kings,SAC,23.38,77.25,"6'5.25""",80,"6'8""",2.75,202
Jase Richardson,2025,Guard,Big 10,Michigan State,#18453B,25,Orlando Magic,ORL,19.69,72.5,"6'0.5""",78,"6'6""",5.5,178
Ben Saraf,2025,Guard,German BBL,Ratiopharm Ulm,#D74F37,26,Brooklyn Nets,BKN,19.2,78,"6'6""",80.75,"6'8.75""",2.75,199
Danny Wolf,2025,Big,Big 10,Michigan,#FFCB05,27,Brooklyn Nets,BKN,21.14,82.5,"6'10.5""",86.25,"7'2.25""",3.75,252
Hugo González,2025,Wing,Spanish ACB,Real Madrid,#FEBE10,28,Boston Celtics,BOS,19.39,78.25,"6'6.25""",82.75,"6'10.75""",4.5,223
Liam McNeeley,2025,Wing,Big East,UConn,#E4002B,29,Charlotte Hornets,CHA,19.71,78.75,"6'6.75""",80.5,"6'8.5""",1.75,215
Yanic Konan N.,2025,Big,Big 10,Penn State,#FFFFF,30,Los Angeles Clippers,LAC,22.28,83.25,"6'11.25""",87.25,"7'3.25""",4,243
Rasheer Fleming,2025,Wing,A-10,Saint Joseph's,#9E1B32,31,Phoenix Suns,PHX,20.96,80.25,"6'8.25""",89.75,"7'5.75""",9.5,232
Noah Penda,2025,Wing,French LNB Élite,Le Mans Sarthe,#EC672C,32,Orlando Magic,ORL,20.47,79,"6'7""",84,"7'0""",5,225
Sion James,2025,Wing,ACC,Duke,#003087,33,Charlotte Hornets,CHA,22.56,76.5,"6'4.5""",78.5,"6'6.5""",2,218
Ryan Kalkbrenner,2025,Big,Big East,Creighton,#005CA9,34,Charlotte Hornets,CHA,23.44,85,"7'1""",90,"7'6""",5,257
Johni Broome,2025,Big,SEC,Auburn,#E87722,35,Philadelphia 76ers,PHI,22.93,81.25,"6'9.25""",84.25,"7'0.25""",3,249
Adou Thiero,2025,Wing,SEC,Arkansas,#9D2235,36,Los Angeles Lakers,LAL,21.13,78.25,"6'6.25""",84,"7'0""",5.75,218
Chaz Lanier,2025,Wing,SEC,Tennessee,#FF8200,37,Detroit Pistons,DET,23.52,75.75,"6'3.75""",81,"6'9""",5.25,206
Kam Jones,2025,Guard,Big East,Marquette,#FFCC00,38,Indiana Pacers,IND,23.33,75.25,"6'3.25""",78,"6'6""",2.75,202
Alijah Martin,2025,Wing,SEC,Florida,#FA4616,39,Toronto Raptors,TOR,23.49,73.5,"6'1.5""",79.5,"6'7.5""",6,208
Micah Peavy,2025,Wing,Big East,Georgetown,#8D817B,40,New Orleans Pelicans,NOP,23.94,78.25,"6'6.25""",79.25,"6'7.25""",1,212
Koby Brea,2025,Wing,SEC,Kentucky,#0033A0,41,Phoenix Suns,PHX,22.64,77.75,"6'5.75""",77.25,"6'5.25""",-0.5,202
Maxime Raynaud,2025,Big,ACC,Stanford,#8C1515,42,Sacramento Kings,SAC,22.22,84.25,"7'0.25""",85.25,"7'1.25""",1,237
Jamir Watkins,2025,Wing,ACC,Florida State,#782F40,43,Washington Wizards,WAS,23.98,77,"6'5""",83.25,"6'11.25""",6.25,215
Brooks Barnhizer,2025,Wing,Big 10,Northwestern,#4E2A84,44,Oklahoma City Thunder,OKC,23.31,76.75,"6'4.75""",83,"6'11""",6.25,229
Rocco Zikarsky,2025,Big,Aus. NBL,Brisbane,#0070BA,45,Minnesota Timberwolves,MIN,18.96,87,"7'3""",88.75,"7'4.75""",1.75,257
Amari Williams,2025,Big,SEC,Kentucky,#0033A0,46,Boston Celtics,BOS,23.41,82.5,"6'10.5""",90,"7'6""",7.5,255
Bogoljub Marković,2025,Big,Adriatic ABA,KK Mega Basket,#CB2F6D,47,Milwaukee Bucks,MIL,19.95,82.5,"6'10.5""",83.5,"6'11.5""",1,213
Javon Small,2025,Guard,Big 12,West Virginia,#EAAA00,48,Memphis Grizzlies,MEM,22.52,73,"6'1""",76.75,"6'4.75""",3.75,190
Tyrese Proctor,2025,Guard,ACC,Duke,#003087,49,Cleveland Cavaliers,CLE,21.23,76.25,"6'4.25""",79.25,"6'7.25""",3,183
Kobe Sanders,2025,Wing,Mountain West,Nevada,#003366,50,Los Angeles Clippers,LAC,23.07,79,"6'7""",80.25,"6'8.25""",1.25,203
Mohamed Diawara,2025,Wing,French LNB Pro B,Poitiers Basket 86,#BF5700,51,New York Knicks,NYK,20.2,81,"6'9""",88,"7'4""",7,200
Alex Toohey,2025,Wing,Aus. NBL,Sydney,#6639A5,52,Golden State Warriors,GSW,21.14,79.75,"6'7.75""",82.75,"6'10.75""",3,223
John Tonje,2025,Wing,Big 10,Wisconsin,#C5050C,53,Utah Jazz,UTA,24.17,76.75,"6'4.75""",81,"6'9""",4.25,212
Taelon Peter,2025,Wing,C-USA,Liberty,#C41230,54,Indiana Pacers,IND,23.33,76,"6'4""",N/A,N/A,N/A,185
Lachlan Olbrich,2025,Big,Aus. NBL,Illawarra,#A52119,55,Chicago Bulls,CHI,21.49,80.75,"6'8.75""",83.25,"6'11.25""",2.5,230
Will Richard,2025,Wing,SEC,Florida,#FA4616,56,Golden State Warriors,GSW,22.5,75.25,"6'3.25""",81.75,"6'9.75""",6.5,210
Max Shulga,2025,Guard,A-10,VCU,#FFB300,57,Boston Celtics,BOS,23,76.25,"6'4.25""",77.75,"6'5.75""",1.5,206
Saliou Niang,2025,Wing,Italian Serie A,Trento,#2F353F,58,Cleveland Cavaliers,CLE,21.11,79,"6'7""",82.75,"6'10.75""",3.75,204
Jahmai Mashack,2025,Guard,SEC,Tennessee,#FF8200,59,Memphis Grizzlies,MEM,22.62,74.75,"6'2.75""",79.75,"6'7.75""",5,197
Hunter Sallis,2025,Guard,ACC,Wake Forest,#9E7E38,UDFA,Philadelphia 76ers,PHI,22.25,75.75,"6'3.75""",82,"6'10""",6.25,181
RJ Luis Jr.,2025,Wing,Big East,St. John's,#BA0C2F,UDFA,Utah Jazz,UTA,22.58,77.75,"6'5.75""",82.5,"6'10.5""",4.75,210
Eric Dixon,2025,Big,Big East,Villanova,#13B5EA,UDFA,Los Angeles Lakers,LAL,24.42,79.5,"6'7.5""",83.5,"6'11.5""",4,259
Ryan Nembhard,2025,Guard,WCC,Gonzaga,#C8102E,UDFA,Dallas Mavericks,DAL,22.29,71,"5'11""",74.25,"6'2.25""",3.25,176
Vladislav Goldin,2025,Big,Big 10,Michigan,#FFCB05,UDFA,Miami Heat,MIA,24.12,84,"7'0""",89.25,"7'5.25""",5.25,253
Dink Pate,2025,Wing,G League,Mexico City,#274185,UDFA,New York Knicks,NYK,19.29,78.25,"6'6.25""",81.75,"6'9.75""",3.5,201
Brice Williams,2025,Wing,Big 10,Nebraska,#E41C38,UDFA,Detroit Pistons,DET,23.97,77.25,"6'5.25""",82.75,"6'10.75""",5.5,206
Chucky Hepburn,2025,Guard,ACC,Louisville,#AD0000,UDFA,Toronto Raptors,TOR,22.38,72.5,"6'0.5""",76.5,"6'4.5""",4,189
Izan Almansa,2025,Big,Aus. NBL,Perth,#ED1D24,UDFA,Philadelphia 76ers,PHI,20.05,81.25,"6'9.25""",85.75,"7'1.75""",4.5,220
Mark Sears,2025,Guard,SEC,Alabama,#9E1B32,UDFA,Milwaukee Bucks,MIL,23.35,70.75,"5'10.75""",74,"6'2""",3.25,183
Grant Nelson,2025,Big,SEC,Alabama,#9E1B32,UDFA,Brooklyn Nets,BKN,23.27,82,"6'10""",84,"7'0""",2,230
Dylan Cardwell,2025,Big,SEC,Auburn,#E87722,UDFA,Sacramento Kings,SAC,23.53,81.75,"6'9.75""",84.75,"7'0.75""",3,261
Tamar Bates,2025,Wing,SEC,Missouri,#F1B82D,UDFA,Denver Nuggets,DEN,22.34,75.75,"6'3.75""",82.25,"6'10.25""",6.5,191
Payton Sandfort,2025,Wing,Big 10,Iowa,#FFCD00,UDFA,Oklahoma City Thunder,OKC,22.95,78.25,"6'6.25""",80,"6'8""",1.75,214
Kadary Richmond,2025,Wing,Big East,St. John's,#BA0C2F,UDFA,Washington Wizards,WAS,23.83,76.25,"6'4.25""",81.5,"6'9.5""",5.25,206
Kobe Johnson,2025,Wing,Big 10,UCLA,#2D68C4,UDFA,Atlanta Hawks,ATL,22.44,76.5,"6'4.5""",79.5,"6'7.5""",3,193
Viktor Lakhin,2025,Big,ACC,Clemson,#F56600,UDFA,Oklahoma City Thunder,OKC,23.91,83,"6'11""",85.5,"7'1.5""",2.5,245
Chris Manon,2025,Wing,SEC,Vanderbilt,#866D4B,UDFA,Golden State Warriors,GSW,N/A,77,"6'5""",N/A,N/A,N/A,215
Igor Milicic Jr.,2025,Wing,SEC,Tennessee,#FF8200,UDFA,Philadelphia 76ers,PHI,22.83,80.75,"6'8.75""",83,"6'11""",2.25,225
Curtis Jones,2025,Guard,Big 12,Iowa State,#C8102E,UDFA,Denver Nuggets,DEN,24.41,75,"6'3""",79.5,"6'7.5""",4.5,183
Jacksen Moni,2025,Big,Summit,North Dakota State,#0A5640,UDFA,San Antonio Spurs,SAS,22.35,80.75,"6'8.75""",82.75,"6'10.75""",2,230
Sean Pedulla,2025,Guard,SEC,Ole Miss,#CE1126,UDFA,Portland Trail Blazers,POR,22.71,72.5,"6'0.5""",73.75,"6'1.75""",1.25,194
Wooga Poplar,2025,Wing,Big East,Villanova,#13B5EA,UDFA,Chicago Bulls,CHI,22.47,75.75,"6'3.75""",78,"6'6""",2.25,192
Jaxson Robinson,2025,Wing,SEC,Kentucky,#0033A0,UDFA,Cleveland Cavaliers,CLE,22.6,76.75,"6'4.75""",83.25,"6'11.25""",6.5,189
Caleb Grill,2025,Guard,SEC,Missouri,#F1B82D,UDFA,Chicago Bulls,CHI,25.03,74.25,"6'2.25""",79.5,"6'7.5""",5.25,204
Caleb Love,2025,Guard,Big 12,Arizona,#CC0033,UDFA,Portland Trail Blazers,POR,23.75,74.25,"6'2.25""",80.75,"6'8.75""",6.5,203
Norchad Omier,2025,Wing,Big 12,Baylor,#154734,UDFA,Cleveland Cavaliers,CLE,23.83,77.5,"6'5.5""",83.5,"6'11.5""",6,246
Arthur Kaluma,2025,Wing,SEC,Texas,#BF5700,UDFA,Los Angeles Lakers,LAL,23.32,78.25,"6'6.25""",85,"7'1""",6.75,223
Andrew Carr,2025,Big,SEC,Kentucky,#0033A0,UDFA,Portland Trail Blazers,POR,23.4,81.5,"6'9.5""",83.75,"6'11.75""",2.25,222
Clifford Omoruyi,2025,Big,SEC,Alabama,#9E1B32,UDFA,Toronto Raptors,TOR,23.7,83,"6'11""",90,"7'6""",7,240
Matthew Cleveland,2025,Wing,ACC,Miami,#F47321,UDFA,Dallas Mavericks,DAL,22.78,79,"6'7""",84,"7'0""",5,210
Keshon Gilbert,2025,Guard,Big 12,Iowa State,#C8102E,UDFA,Washington Wizards,WAS,21.99,74.5,"6'2.5""",78.25,"6'6.25""",3.75,185
Cameron Matthews,2025,Wing,SEC,Mississippi State,#660000,UDFA,Houston Rockets,HOU,23.51,77.75,"6'5.75""",83,"6'11""",5.25,235
John Poulakidas,2025,Wing,Ivy League,Yale,#00356B,UDFA,Los Angeles Clippers,LAC,22.22,76.5,"6'4.5""",81.25,"6'9.25""",4.75,199
Chase Hunter,2025,Guard,ACC,Clemson,#F56600,UDFA,New Orleans Pelicans,NOP,24.21,73.75,"6'1.75""",80.75,"6'8.75""",7,200
Chance McMillian,2025,Guard,Big 12,Texas Tech,#CC0000,UDFA,Golden State Warriors,GSW,24.39,73.5,"6'1.5""",77,"6'5""",3.5,181
Lamont Butler,2025,Guard,SEC,Kentucky,#0033A0,UDFA,Atlanta Hawks,ATL,23.04,74,"6'2""",N/A,N/A,N/A,208
Coleman Hawkins,2025,Big,Big 12,Kansas State,#512888,UDFA,Golden State Warriors,GSW,23.5,80.5,"6'8.5""",84.25,"7'0.25""",3.75,224
Dawson Garcia,2025,Big,Big 10,Minnesota,#7A0019,UDFA,Detroit Pistons,DET,23.8,81.25,"6'9.25""",82.75,"6'10.75""",1.5,225
Isaac Nogues,2025,Wing,G League,Rip City Remix,#E03A3E,UDFA,Sacramento Kings,SAC,21.37,76.75,"6'4.75""",81.75,"6'9.75""",5,201
Miles Kelly,2025,Wing,SEC,Auburn,#E87722,UDFA,Dallas Mavericks,DAL,22.42,76,"6'4""",80.25,"6'8.25""",4.25,178
LJ Cryer,2025,Guard,Big 12,Houston,#C8102E,UDFA,Golden State Warriors,GSW,23.7,73,"6'1""",76,"6'4""",3,200
Oumar Ballo,2025,Big,Big 10,Indiana,#990000,UDFA,Miami Heat,MIA,22.9,84,"7'0""",N/A,N/A,N/A,260
Julian Reese,2025,Big,Big 10,Maryland,#E03A3E,UDFA,Los Angeles Lakers,LAL,21.99,81,"6'9""",84.5,"7'0.5""",3.5,252
RJ Davis,2025,Guard,ACC,North Carolina,#7BAFD4,UDFA,Los Angeles Lakers,LAL,23.68,70.75,"5'10.75""",76,"6'4""",5.25,175
Steve Settle III,2025,Wing,American,Temple,#9D2235,UDFA,Miami Heat,MIA,24.3,82,"6'10""",N/A,N/A,N/A,180
Jonathan Pierre,2025,Wing,MVC,Belmont,#C8102E,UDFA,Washington Wizards,WAS,22.18,80.25,"6'8.25""",84,"7'0""",3.75,214
Augustas Marčiulionis,2025,Guard,WCC,Saint Mary's,#DB0024,UDFA,Los Angeles Lakers,LAL,23.3,76,"6'4""",N/A,N/A,N/A,200
Eli N'Diaye,2025,Big,Spanish ACB,Real Madrid,#FEBE10,UDFA,Atlanta Hawks,ATL,21,80,"6'8""",85,"7'1""",5,185
Hunter Dickinson,2025,Big,Big 12,Kansas,#0051BA,UDFA,New Orleans Pelicans,NOP,24.6,84,"7'0""",87.25,"7'3.25""",3.25,258
Zakai Zeigler,2025,Guard,SEC,Tennessee,#FF8200,UDFA,Detroit Pistons,DET,22.9,69,"5'9""",N/A,N/A,N/A,170
Wade Taylor IV,2025,Guard,SEC,Texas A&M,#500000,UDFA,Milwaukee Bucks,MIL,22.06,69.5,"5'9.5""",74.5,"6'2.5""",5,185
Chris Youngblood,2025,Wing,SEC,Alabama,#9E1B32,UDFA,Oklahoma City Thunder,OKC,23.38,75.25,"6'3.25""",78.75,"6'6.75""",3.5,223
Johnell Davis,2025,Guard,SEC,Arkansas,#9D2235,UDFA,Orlando Magic,ORL,24.09,75.25,"6'3.25""",80,"6'8""",4.75,196
Jahmyl Telfort,2025,Wing,Big East,Butler,#747678,UDFA,Los Angeles Clippers,LAC,24.16,79,"6'7""",85,"7'1""",6,225
Nate Santos,2025,Wing,A-10,Dayton,#CE1141,UDFA,Orlando Magic,ORL,23.63,77.5,"6'5.5""",80,"6'8""",2.5,210
Saint Thomas,2025,Wing,Big 10,USC,#990000,UDFA,Philadelphia 76ers,PHI,22.15,79,"6'7""",82,"6'10""",3,200
Aaron Scott,2025,Wing,Big East,St. John's,#BA0C2F,UDFA,Boston Celtics,BOS,21.96,79,"6'7""",84,"7'0""",5,210
Tyson Degenhart,2025,Big,Mountain West,Boise State,#D64309,UDFA,Toronto Raptors,TOR,22.7,80,"6'8""",N/A,N/A,N/A,235
Nolan Hickman,2025,Guard,WCC,Gonzaga,#C8102E,UDFA,Dallas Mavericks,DAL,22.13,74,"6'2""",78,"6'6""",4,185
Gabe Madsen,2025,Wing,Big 12,Utah,#CC0000,UDFA,Golden State Warriors,GSW,24.15,78,"6'6""",N/A,N/A,N/A,200
Zeke Mayo,2025,Guard,Big 12,Kansas,#0051BA,UDFA,Washington Wizards,WAS,22.56,76,"6'4""",N/A,N/A,N/A,185
Samson Johnson,2025,Big,Big East,UConn,#E4002B,UDFA,Indiana Pacers,IND,22.91,82,"6'10""",89,"7'5""",7,205
Matthew Murrell,2025,Guard,SEC,Ole Miss,#CE1126,UDFA,Utah Jazz,UTA,23.5,74.75,"6'2.75""",80.25,"6'8.25""",5.5,206
Jabri Abdur-Rahim,2025,Wing,Big East,Providence,#8A8D8F,UDFA,Sacramento Kings,SAC,23.26,78,"6'6""",82,"6'10""",4,225
